5, 2, 11
11, 4, 20
16, 5, 26
19, 7, 32
21, 9, 38
23, 11, 44
24, 13, 50
25, 14, 57
27, 14, 63
28, 15, 70
29, 15, 77
30, 15, 84
31, 16, 91
32, 16, 98
33, 16, 105
34, 16, 112
34, 16, 120
35, 16, 127
35, 16, 135
35, 16, 142
35, 16, 150
35, 15, 157
35, 15, 165
34, 14, 173
33, 13, 181
32, 13, 189
31, 12, 197
29, 11, 205
27, 9, 213
24, 8, 222
20, 6, 230
16, 4, 238
9, 2, 247
0, 0, 255
21, 19, 255
32, 31, 255
41, 40, 255
47, 49, 255
53, 56, 255
57, 63, 255
62, 70, 255
65, 76, 255
69, 83, 255
72, 89, 255
74, 95, 255
77, 101, 255
79, 107, 255
80, 112, 255
82, 118, 255
83, 124, 255
85, 130, 255
85, 135, 255
86, 141, 255
87, 147, 255
87, 152, 255
87, 158, 255
87, 164, 255
86, 169, 255
85, 175, 255
84, 181, 255
83, 186, 255
81, 192, 255
80, 198, 255
77, 203, 255
74, 209, 255
71, 215, 255
67, 220, 255
62, 226, 255
57, 232, 255
50, 238, 255
41, 243, 255
28, 249, 255
0, 255, 255
16, 255, 250
26, 255, 245
32, 255, 240
37, 255, 235
42, 255, 230
45, 255, 225
48, 255, 220
51, 255, 215
53, 255, 210
55, 255, 205
56, 255, 200
57, 255, 195
58, 255, 190
59, 255, 185
60, 255, 180
60, 255, 175
61, 255, 170
61, 255, 164
61, 255, 159
61, 255, 154
60, 255, 149
60, 255, 143
59, 255, 138
58, 255, 133
57, 255, 127
56, 255, 121
54, 255, 116
53, 255, 110
51, 255, 104
49, 255, 98
46, 255, 91
44, 255, 84
41, 255, 77
37, 255, 70
33, 255, 62
28, 255, 52
22, 255, 41
13, 255, 27
0, 255, 0
37, 255, 0
54, 255, 0
67, 255, 0
77, 255, 0
87, 255, 0
95, 255, 0
103, 255, 0
110, 255, 0
117, 255, 0
123, 255, 0
129, 255, 0
135, 255, 0
141, 255, 0
146, 255, 0
152, 255, 0
157, 255, 0
162, 255, 0
167, 255, 0
172, 255, 0
176, 255, 0
181, 255, 0
185, 255, 0
190, 255, 0
194, 255, 0
199, 255, 0
203, 255, 0
207, 255, 0
211, 255, 0
216, 255, 0
220, 255, 0
224, 255, 0
228, 255, 0
232, 255, 0
236, 255, 0
240, 255, 0
243, 255, 0
247, 255, 0
251, 255, 0
255, 255, 0
255, 255, 0
255, 246, 0
255, 241, 0
255, 236, 0
255, 232, 0
255, 227, 0
255, 222, 0
255, 218, 0
255, 213, 0
255, 208, 0
255, 204, 0
255, 199, 0
255, 194, 0
255, 189, 0
255, 184, 0
255, 179, 0
255, 174, 0
255, 169, 0
255, 164, 0
255, 159, 0
255, 154, 0
255, 149, 0
255, 144, 0
255, 138, 0
255, 133, 0
255, 127, 0
255, 121, 0
255, 116, 0
255, 109, 0
255, 103, 0
255, 97, 0
255, 90, 0
255, 82, 0
255, 75, 0
255, 66, 0
255, 56, 0
255, 45, 0
255, 30, 0
255, 0, 0
